lat,long,NM_MICRO,total,CD_GEOCMI,Fx18,Fx60,Fx70,pp_18,pp_60,pp_70
-45.8562801536374,-23.0883640004453,SÃO JOSÉ DOS CAMPOS,1436970.91239871,35050,398871.332761259,156068.70370131,63264.9771943924,0.277577875320683,0.10860950792719,0.0440266233982323
-45.0305963625469,-22.0476242974261,SÃO LOURENÇO,209709.784136532,31054,58508.6501113228,30185.3788321477,14220.4030288969,0.278998189580084,0.143938819814412,0.0678099168689174
-40.1513143112999,-18.6441867121932,SÃO MATEUS,189284.490052955,32005,63762.7221637427,16703.1500359941,7308.56782119221,0.336861842964017,0.0882436275223666,0.0386115514226629
-50.1511157100726,-14.0537753292147,SÃO MIGUEL DO ARAGUAIA,76958.8363580468,52001,23215.4364048413,8519.41827161274,3554.38538409521,0.301660439573602,0.110700975674536,0.0461855395988399
-53.5044659774879,-26.5948570526244,SÃO MIGUEL DO OESTE,175133.462277615,42001,47763.6934128249,24091.5013544394,10673.2999654695,0.272727397675218,0.137560812429155,0.0609438072351392
-36.2789835847946,-9.81635837496422,SÃO MIGUEL DOS CAMPOS,288357.495750159,27012,113008.139099272,22226.5972729006,9008.96607441279,0.391902900964243,0.0770800052035352,0.0312423509261518
-46.6165441580358,-23.6355106755936,SÃO PAULO,13922415.4382125,35061,3650063.00362019,1677676.06975534,759548.546240046,0.262171677021069,0.120501796344237,0.0545558024475646
-42.4655880077713,-8.92567668155158,SÃO RAIMUNDO NONATO,136758.649394621,22011,48189.9962114366,15677.6673535347,7323.14708491937,0.352372566011406,0.114637483061831,0.0535479629064502
-46.5420416902027,-21.14847351294,SÃO SEBASTIÃO DO PARAÍSO,267181.045973439,31048,73213.4380116723,37039.5806109762,17403.7655516455,0.27402182570597,0.138631018813581,0.0651384737575123
-35.2866161737291,-7.18152746168721,SAPÉ,133804.038173699,25021,45447.81480807,16901.8437697226,8321.5878011425,0.339659515724566,0.126317889956215,0.0621923517012225
-41.3634520176462,-12.8905986168702,SEABRA,254297.440577379,29023,90508.2893963642,29916.2895880511,14650.6232917415,0.355915062262783,0.117642904781607,0.0576121539346895
-70.0428533002488,-9.89442264520473,SENA MADUREIRA,52345.641573716,12003,23704.3941729216,3159.26321139056,1332.10477642541,0.452843703129319,0.0603538922517841,0.0254482462412743
-40.098555941186,-10.6552696076525,SENHOR DO BONFIM,288645.883601763,29008,100356.537749343,33320.3148523117,15512.2430619375,0.347680474417582,0.115436653509609,0.0537414317792222
-37.4294317893936,-10.2227581761777,SERGIPANA DO SERTÃO DO SÃO FRANCISCO,158723.855511349,28001,62261.0636370319,13848.7664031701,5971.59013631884,0.392260277678172,0.0872506930892934,0.0376225118592325
-37.1942977110263,-6.43666114620091,SERIDÓ OCIDENTAL,98626.2510403183,24011,28093.9335351915,12701.6792470619,6187.56560413251,0.284852493518249,0.128785988649913,0.0627375119591947
-36.939116781187,-6.95653466798789,SERIDÓ OCIDENTAL PARAIBANO,39403.042028267,25008,12285.9834966966,5769.0600172698,2904.46119169846,0.311802918360537,0.146411538812947,0.0737115979424852
-36.6159746716231,-6.37919879320565,SERIDÓ ORIENTAL,119314.824328537,24012,34993.5354096189,16764.6302067445,8473.06284535338,0.293287406712037,0.140507521182637,0.0710143344973006
-36.4889708528488,-6.7468362174477,SERIDÓ ORIENTAL PARAIBANO,74702.5309089905,25009,25768.5274033302,9661.92414181663,4802.72826262121,0.344948519009667,0.129338645213877,0.0642913727845758
-36.6603543261398,-6.08686860239921,SERRA DE SANTANA,61620.4994304948,24010,19605.7006311869,8296.42792633093,4254.3790466772,0.318168479846569,0.134637466476378,0.069041619039066
-38.4146297395497,-6.24071818133868,SERRA DE SÃO MIGUEL,63237.0009455336,24005,21814.1008092453,8310.04562262821,4078.40455580987,0.344957864589972,0.131411127953169,0.0644939591509506
-38.385577152741,-5.89950652511886,SERRA DO PEREIRO,42672.653604623,23025,13917.0457780325,5872.51524378868,2995.06830624804,0.326134997532115,0.137617765658531,0.0701870648588764
-37.7448545302952,-7.56379925580559,SERRA DO TEIXEIRA,116688.994297695,25007,42957.5139269828,14096.424740265,6760.54910417568,0.368136808321359,0.120803378460032,0.0579364758850202
-43.0483945856207,-22.2917845760474,SERRANA,484092.224263126,33015,131744.820570968,69246.5659006556,31525.0833518524,0.272148185754288,0.143044160657736,0.0651220609871171
-37.7243172480254,-9.1734202655866,SERRANA DO SERTÃO ALAGOANO,89397.3397135484,27001,38103.9341635222,9788.35615583276,4436.9844792958,0.426231186359872,0.109492700646318,0.0496321757841231
-36.2322764676917,-9.2971622469702,SERRANA DOS QUILOMBOS,146893.248499601,27008,57864.2333012417,13755.0198306849,6218.42228655444,0.393920305339281,0.0936395645898064,0.0423329346315827
-53.2683937866847,-31.1431397235644,SERRAS DE SUDESTE,116584.559743449,43032,32062.3056035939,19642.9425120115,9119.42656671307,0.275013309430929,0.16848665513887,0.0782215637026109
-39.2882615626419,-11.5311727222391,SERRINHA,418264.556519573,29016,141581.884546234,50192.5410670564,22896.4961644909,0.338498403317633,0.120001899000752,0.0547416600512728
-40.4463284856487,-5.27437794899197,SERTÃO DE CRATÉUS,241523.098646344,23018,81382.6887701975,34614.756313682,18102.1387439245,0.336956130599186,0.143318616346371,0.0749499275447398
-40.1114164058325,-6.11003490457141,SERTÃO DE INHAMUNS,146216.867562214,23020,49893.1598226557,19925.5465420785,9876.47796431769,0.341227114590091,0.136273925671403,0.0675467757515413
-39.2471059131418,-5.02707467360372,SERTÃO DE QUIXERAMOBIM,269902.012236841,23019,97614.4556276417,33467.9872740406,17268.7092160866,0.36166627591492,0.124000510395129,0.0639814022614
-39.5577326903536,-5.81187810078574,SERTÃO DE SENADOR POMPEU,218634.01033027,23021,71843.6576444925,32622.5066224575,16445.9346811157,0.328602386865451,0.149210576036078,0.0752213009141273
-37.6188569541219,-8.60926379286697,SERTÃO DO MOXOTÓ,215807.724807765,26004,78357.1640104089,24566.2041432686,11520.1756981314,0.363087855544591,0.11383375717969,0.0533816651298892
-44.0951957544599,-19.310648335636,SETE LAGOAS,399445.038731857,31027,115319.26177288,44822.388221647,19977.7217285256,0.288698695918196,0.112211653357737,0.050013693478207
-54.8391679940183,-11.7731790475809,SINOP,178528.893177423,51007,61121.8114240955,11604.838099526,4494.33268926217,0.342363694392886,0.0650025768545655,0.0251742595233348
