week,mean,perc_75,perc_25,Estado
43,0.0,0.0,0.0,PI
44,0.0,0.0,0.0,PI
45,0.0,0.0,0.0,PI
46,0.0,0.0,0.0,PI
47,0.0,0.0,0.0,PI
48,0.0,0.0,0.0,PI
49,0.0,0.0,0.0,PI
50,0.0,0.0,0.0,PI
51,0.0,0.0,0.0,PI
52,0.0,0.0,0.0,PI
53,0.5,0.75,0.25,PI
1,1.0,2.0,0.0,PB
2,1.0,1.0,0.25,PB
3,1.0,1.0,0.25,PB
4,0.5,1.0,0.0,PB
5,0.5,1.0,0.0,PB
6,1.0,1.75,0.0,PB
7,0.0,1.0,0.0,PB
8,0.0,1.0,0.0,PB
9,0.5,1.0,0.0,PB
10,1.0,1.0,0.0,PB
11,1.0,1.75,0.25,PB
12,0.5,1.0,0.0,PB
13,1.0,2.0,0.0,PB
14,1.0,1.0,0.25,PB
15,0.0,0.0,0.0,PB
16,0.0,1.0,0.0,PB
17,0.5,2.0,0.0,PB
18,0.5,1.0,0.0,PB
19,1.0,1.0,0.0,PB
20,1.0,1.75,0.25,PB
21,1.0,1.75,0.0,PB
22,0.5,1.75,0.0,PB
23,0.5,1.0,0.0,PB
24,0.0,0.75,0.0,PB
25,0.5,1.0,0.0,PB
26,0.5,1.0,0.0,PB
27,1.0,2.0,0.0,PB
28,0.0,1.0,0.0,PB
29,0.0,1.0,0.0,PB
30,0.0,0.75,0.0,PB
31,1.0,1.0,0.25,PB
32,0.0,1.0,0.0,PB
33,0.0,1.0,0.0,PB
34,0.0,0.0,0.0,PB
35,0.0,0.0,0.0,PB
36,0.0,1.75,0.0,PB
37,0.0,1.0,0.0,PB
38,0.0,0.75,0.0,PB
39,0.0,1.0,0.0,PB
40,0.0,1.0,0.0,PB
41,0.0,1.0,0.0,PB
42,0.0,1.0,0.0,PB
43,1.0,1.0,0.0,PB
44,0.5,1.0,0.0,PB
45,0.5,1.0,0.0,PB
46,0.0,1.0,0.0,PB
47,0.5,1.0,0.0,PB
48,0.0,0.75,0.0,PB
49,0.0,0.75,0.0,PB
50,0.5,1.0,0.0,PB
51,1.0,2.0,0.25,PB
52,0.0,0.0,0.0,PB
53,0.0,0.0,0.0,PB
1,0.0,1.0,0.0,MA
2,1.0,1.0,0.0,MA
3,0.0,1.0,0.0,MA
4,0.5,1.0,0.0,MA
5,0.0,1.0,0.0,MA
6,0.0,0.0,0.0,MA
7,0.0,0.0,0.0,MA
8,0.0,0.0,0.0,MA
9,0.0,0.75,0.0,MA
10,0.0,0.0,0.0,MA
11,0.0,0.75,0.0,MA
12,0.0,1.0,0.0,MA
13,1.0,1.0,0.25,MA
14,0.0,0.75,0.0,MA
15,1.0,1.0,0.25,MA
16,1.0,1.75,0.25,MA
17,0.5,1.0,0.0,MA
18,1.5,2.0,0.25,MA
19,1.0,1.75,0.25,MA
20,0.5,1.0,0.0,MA
21,0.0,1.0,0.0,MA
22,0.5,1.0,0.0,MA
23,0.0,1.0,0.0,MA
24,1.0,2.0,0.25,MA
25,1.0,1.0,0.0,MA
26,0.0,0.75,0.0,MA
27,0.0,0.75,0.0,MA
28,0.0,0.0,0.0,MA
29,0.0,1.75,0.0,MA
30,0.0,0.75,0.0,MA
31,0.0,0.75,0.0,MA
32,0.0,0.0,0.0,MA
33,0.0,0.75,0.0,MA
34,0.0,0.0,0.0,MA
35,0.0,0.0,0.0,MA
36,0.0,0.75,0.0,MA
37,0.0,0.75,0.0,MA
38,0.0,0.75,0.0,MA
39,0.0,0.0,0.0,MA
40,0.0,0.0,0.0,MA
41,0.0,0.75,0.0,MA
42,0.0,0.0,0.0,MA
43,0.0,0.0,0.0,MA
44,0.0,1.0,0.0,MA
45,0.0,0.0,0.0,MA
46,0.0,1.0,0.0,MA
47,1.0,1.0,0.0,MA
48,0.0,0.0,0.0,MA
49,0.0,0.75,0.0,MA
50,0.0,1.0,0.0,MA
51,0.5,1.0,0.0,MA
52,0.0,0.0,0.0,MA
53,0.0,0.0,0.0,MA
1,0.0,0.0,0.0,AM
2,0.0,0.0,0.0,AM
3,0.0,0.75,0.0,AM
4,0.0,0.0,0.0,AM
5,0.0,0.0,0.0,AM
6,0.0,0.0,0.0,AM
7,0.0,0.75,0.0,AM
8,0.0,0.0,0.0,AM
9,0.0,0.0,0.0,AM
10,0.0,0.75,0.0,AM
11,0.0,0.75,0.0,AM
12,0.0,0.0,0.0,AM
13,0.0,0.0,0.0,AM
14,0.0,1.0,0.0,AM
15,0.0,0.0,0.0,AM
16,0.0,1.0,0.0,AM
17,0.0,0.0,0.0,AM
18,0.0,0.75,0.0,AM
19,0.0,1.0,0.0,AM
20,0.0,1.0,0.0,AM
21,0.0,0.75,0.0,AM
22,0.0,0.0,0.0,AM
23,0.0,0.75,0.0,AM
24,0.0,0.0,0.0,AM
25,0.0,0.0,0.0,AM
26,0.0,0.0,0.0,AM
27,0.0,1.0,0.0,AM
28,0.0,0.0,0.0,AM
29,0.0,0.0,0.0,AM
30,0.0,0.0,0.0,AM
31,0.0,0.0,0.0,AM
32,0.0,1.0,0.0,AM
33,0.0,0.0,0.0,AM
34,0.0,0.0,0.0,AM
35,0.0,0.75,0.0,AM
36,0.0,0.0,0.0,AM
37,0.0,0.0,0.0,AM
38,0.0,0.0,0.0,AM
39,0.0,0.75,0.0,AM
40,0.0,0.75,0.0,AM
41,0.0,1.0,0.0,AM
42,0.0,0.0,0.0,AM
43,0.0,0.0,0.0,AM
44,0.0,0.0,0.0,AM
45,0.0,0.0,0.0,AM
46,0.0,1.0,0.0,AM
47,0.0,0.0,0.0,AM
48,0.0,1.0,0.0,AM
49,0.0,0.0,0.0,AM
50,0.0,1.0,0.0,AM
51,0.0,0.0,0.0,AM
52,0.0,0.0,0.0,AM
53,0.0,0.0,0.0,AM
1,0.0,0.0,0.0,ES
2,0.0,0.0,0.0,ES
3,0.0,1.0,0.0,ES
4,0.0,0.0,0.0,ES
5,0.0,0.0,0.0,ES
6,0.0,0.0,0.0,ES
7,0.0,0.0,0.0,ES
8,0.0,0.0,0.0,ES
9,0.0,0.0,0.0,ES
10,0.0,0.0,0.0,ES
11,0.0,0.0,0.0,ES
12,0.0,0.0,0.0,ES
13,0.0,0.0,0.0,ES
14,0.0,0.0,0.0,ES
15,0.0,0.0,0.0,ES
16,0.0,0.0,0.0,ES
17,0.0,1.0,0.0,ES
18,0.0,1.0,0.0,ES
19,0.0,0.0,0.0,ES
20,0.0,0.0,0.0,ES
21,0.0,1.0,0.0,ES
22,0.0,1.0,0.0,ES
23,0.0,1.0,0.0,ES
24,0.0,1.0,0.0,ES
25,0.5,1.0,0.0,ES
26,0.0,0.75,0.0,ES
27,0.0,0.0,0.0,ES
28,0.0,1.0,0.0,ES
29,0.0,0.0,0.0,ES
30,0.0,0.0,0.0,ES
31,0.0,0.0,0.0,ES
32,0.0,0.0,0.0,ES
33,0.0,0.0,0.0,ES
34,0.0,0.0,0.0,ES
35,0.0,0.0,0.0,ES
36,0.0,0.0,0.0,ES
37,0.0,0.0,0.0,ES
38,0.0,0.0,0.0,ES
39,0.0,0.0,0.0,ES
40,0.0,0.75,0.0,ES
41,0.0,0.0,0.0,ES
42,0.0,0.0,0.0,ES
43,0.0,0.0,0.0,ES
44,0.0,0.0,0.0,ES
45,0.0,0.0,0.0,ES
46,0.0,0.0,0.0,ES
47,0.0,0.0,0.0,ES
48,0.0,0.0,0.0,ES
49,0.0,0.0,0.0,ES
50,0.0,0.75,0.0,ES
51,0.0,0.0,0.0,ES
52,0.0,0.0,0.0,ES
53,0.0,0.0,0.0,ES
1,0.0,0.0,0.0,MG
2,0.0,0.0,0.0,MG
3,0.0,0.0,0.0,MG
4,0.0,1.0,0.0,MG
5,0.0,1.0,0.0,MG
6,0.0,1.0,0.0,MG
7,0.0,1.0,0.0,MG
8,0.0,1.0,0.0,MG
9,0.0,0.0,0.0,MG
10,0.0,1.0,0.0,MG
11,0.0,0.0,0.0,MG
12,0.0,0.0,0.0,MG
13,0.0,0.0,0.0,MG
14,0.0,0.75,0.0,MG
15,0.0,1.0,0.0,MG
16,0.5,1.75,0.0,MG
17,1.0,1.0,0.0,MG
18,1.0,2.75,0.25,MG
19,1.0,1.0,0.0,MG
20,1.5,2.75,1.0,MG
21,2.5,4.0,0.25,MG
22,2.0,3.75,0.25,MG
23,1.0,3.75,0.0,MG
24,2.0,6.5,1.25,MG
25,2.5,4.75,1.25,MG
26,1.5,3.75,0.25,MG
27,3.0,4.75,1.25,MG
28,3.5,4.75,2.0,MG
29,2.0,3.0,0.25,MG
30,2.0,3.0,1.0,MG
31,2.5,4.0,1.0,MG
32,1.5,3.5,0.0,MG
33,1.0,1.0,0.0,MG
34,1.0,1.75,0.0,MG
35,1.0,1.75,0.25,MG
36,1.0,1.75,0.25,MG
37,1.0,1.0,0.0,MG
38,0.5,2.0,0.0,MG
39,1.0,2.0,0.0,MG
40,0.0,1.0,0.0,MG
41,0.0,1.0,0.0,MG
42,1.0,1.75,1.0,MG
43,1.0,1.0,0.0,MG
44,0.0,1.0,0.0,MG
45,1.0,1.0,0.0,MG
46,0.0,0.0,0.0,MG
47,0.0,1.0,0.0,MG
48,1.0,1.0,0.0,MG
49,0.0,0.0,0.0,MG
50,0.0,0.0,0.0,MG
51,0.0,1.0,0.0,MG
52,0.0,0.0,0.0,MG
53,0.0,0.0,0.0,MG
1,2.0,2.0,1.0,SP
2,0.0,1.0,0.0,SP
3,1.0,2.0,0.0,SP
4,1.0,2.0,1.0,SP
5,1.0,2.0,1.0,SP
6,1.5,2.0,1.0,SP
7,1.0,1.75,0.0,SP
8,1.0,1.75,0.0,SP
9,1.5,3.0,1.0,SP
10,1.0,3.75,0.0,SP
11,1.0,2.0,0.25,SP
12,1.0,1.75,1.0,SP
13,1.0,2.0,0.25,SP
14,1.0,1.75,0.25,SP
15,1.5,4.5,1.0,SP
16,0.5,2.5,0.0,SP
17,3.0,6.5,1.0,SP
18,4.5,14.0,2.25,SP
19,3.0,9.75,2.0,SP
20,2.5,11.0,1.0,SP
21,2.0,14.25,1.0,SP
22,2.5,12.0,1.25,SP
23,2.5,8.5,2.0,SP
24,4.0,9.0,2.25,SP
25,3.5,8.5,2.0,SP
26,3.0,10.0,2.0,SP
27,3.0,7.25,2.0,SP
28,3.5,7.5,1.0,SP
29,5.5,10.75,1.25,SP
30,4.0,9.5,2.25,SP
31,3.0,7.25,2.25,SP
32,2.5,6.0,1.0,SP
33,3.5,4.75,1.0,SP
34,2.5,4.75,1.0,SP
35,3.5,4.75,0.5,SP
36,2.0,3.75,0.25,SP
37,2.0,2.75,1.0,SP
38,1.5,2.75,1.0,SP
39,1.5,3.75,0.25,SP
40,1.0,2.75,1.0,SP
41,1.5,2.0,0.0,SP
42,2.0,2.75,0.25,SP
43,2.5,3.75,1.25,SP
44,3.0,3.0,3.0,SP
45,0.5,2.5,0.0,SP
46,1.0,3.0,1.0,SP
47,1.0,1.75,1.0,SP
48,2.0,2.75,1.0,SP
49,1.0,2.0,1.0,SP
50,1.0,2.0,0.0,SP
51,1.5,2.0,1.0,SP
52,1.0,2.0,0.0,SP
53,1.5,1.75,1.25,SP
1,0.0,0.0,0.0,RJ
2,0.0,0.0,0.0,RJ
3,0.0,0.0,0.0,RJ
4,0.0,1.0,0.0,RJ
5,0.0,0.0,0.0,RJ
6,0.0,1.0,0.0,RJ
7,0.0,0.75,0.0,RJ
8,0.0,0.0,0.0,RJ
9,0.0,0.0,0.0,RJ
10,0.0,0.75,0.0,RJ
11,0.0,1.0,0.0,RJ
12,0.0,1.0,0.0,RJ
13,0.0,0.0,0.0,RJ
14,0.0,0.75,0.0,RJ
15,0.5,1.0,0.0,RJ
16,0.0,0.0,0.0,RJ
17,1.0,1.0,0.0,RJ
18,0.0,1.75,0.0,RJ
19,0.0,0.75,0.0,RJ
20,0.5,1.0,0.0,RJ
21,0.5,1.0,0.0,RJ
22,1.0,1.0,0.0,RJ
